Year,Indicators,2022-2023 Actuals,2023-2024 Budget Estimates,2023-2024 Revised Estimates,2024-2025 Budget Estimates,Anomaly,Anomaly_Flag
2022,Borrowings and other liabilities,1737755.0,1786816.0,1734773.0,1613312.0,1,Normal
2022,Capital Expenditure,740025.0,1000961.0,950246.0,1111111.0,1,Normal
2022,Capital Receipts,1809951.0,1870816.0,1790773.0,1691312.0,1,Normal
2022,Effective Revenue Deficit,763662.0,499867.0,519337.0,189423.0,1,Normal
2022,Effective Revenue Deficit % of GDP,2.8,1.7,1.8,0.6,1,Normal
2022,Fiscal Deficit,1737755.0,1786816.0,1734773.0,1613312.0,1,Normal
2022,Fiscal Deficit % of GDP,6.4,5.9,5.8,4.9,1,Normal
2022,Non-Plan Expenditure,6.4,5.9,5.8,4.9,1,Normal
2022,"Non-Plan Expenditure of which, Interest Payments",6.4,5.9,5.8,4.9,1,Normal
2022,Non-Plan Expenditure on Capital Account,6.4,5.9,5.8,4.9,1,Normal
2022,Non-Plan Expenditure on Revenue Account,6.4,5.9,5.8,4.9,1,Normal
2022,Non-Tax Revenue,285421.0,301650.0,375795.0,545701.0,1,Normal
2022,Other Receipts,46035.0,61000.0,30000.0,50000.0,1,Normal
2022,Plan Expenditure,46035.0,61000.0,30000.0,50000.0,1,Normal
2022,Plan Expenditure on Capital Account,46035.0,61000.0,30000.0,50000.0,1,Normal
2022,Plan Expenditure on Revenue Account,46035.0,61000.0,30000.0,50000.0,1,Normal
2022,Primary Deficit,809238.0,706845.0,679346.0,450372.0,1,Normal
2022,Primary Deficit % of GDP,3.0,2.3,2.3,1.4,1,Normal
2022,Recoveries of Loans,26161.0,23000.0,26000.0,28000.0,1,Normal
2022,Revenue Deficit,1069926.0,869855.0,840527.0,580201.0,1,Normal
2022,Revenue Deficit % of GDP,4.0,2.9,2.8,1.8,1,Normal
2022,Revenue Expenditure – Grants in aid for creation of Capital Assets,306264.0,369988.0,321190.0,390778.0,1,Normal
2022,Revenue Expenditure – Interest Payments,928517.0,1079971.0,1055427.0,1162940.0,1,Normal
2022,Revenue Receipts,2383206.0,2632281.0,2699713.0,3129200.0,1,Normal
2022,Tax Revenue (net to centre),2097786.0,2330631.0,2323918.0,2583499.0,1,Normal
2022,Total Expenditure,4193157.0,4503097.0,4490486.0,4820512.0,1,Normal
2022,Total Receipts,4193157.0,4503097.0,4490486.0,4820512.0,1,Normal
2022,Total Revenue Expenditure,3453132.0,3502136.0,3540239.0,3709401.0,1,Normal